table,prompt,field,data_type,mmria_path,value1,value2,mmria_value,Comments
AutopsyReport12AR_COD_grid, Coroner / Medical Examiner Causes of Death," """"",,,,,,
AutopsyReport12AR_COD_grid," """"", AR_COD1, System.String,autopsy_report/causes_of_death/cause,,,,
AutopsyReport12AR_COD_grid," """"", AR_ICDcode, System.String,autopsy_report/causes_of_death/icd_code,,,,
AutopsyReport12AR_COD_grid," """"", AR_CODCom, System.String,autopsy_report/causes_of_death/comment,,,,
AutopsyReport12AR_COD_grid," """"", AR_CODType, System.String,autopsy_report/causes_of_death/cause_type,,,(blank),
AutopsyReport12AR_COD_grid," """"", AR_CODType, System.String,autopsy_report/causes_of_death/cause_type,Immediate,,Immediate,
AutopsyReport12AR_COD_grid," """"", AR_CODType, System.String,autopsy_report/causes_of_death/cause_type,Contributing,,Contributing,
AutopsyReport12AR_COD_grid," """"", AR_CODType, System.String,autopsy_report/causes_of_death/cause_type,Underlying,,Underlying,
AutopsyReport12AR_COD_grid," """"", AR_CODType, System.String,autopsy_report/causes_of_death/cause_type,Other significant,,Other Significant,
AutopsyReport11AR_Gross_grid,Gross findings,"""""",,,,,,Not in list
AutopsyReport11AR_Gross_grid,"""""", AR_Finding, System.String,autopsy_report/relevant_maternal_death_findings/gross_findings/finding,,,,
AutopsyReport11AR_Gross_grid,"""""", AR_FindCom, System.String,autopsy_report/relevant_maternal_death_findings/gross_findings/comment,,,,
AutopsyReport11AR_Micro_grid,Microscopic findings,"""""",,,,,,
AutopsyReport11AR_Micro_grid," """"", AR_MicroFind, System.String,autopsy_report/relevant_maternal_death_findings/microscopic_findings/finding,,,,Misclassified?
AutopsyReport11AR_Micro_grid," """"", AR_MicroCom, System.String,autopsy_report/relevant_maternal_death_findings/microscopic_findings/comment,,,,
AutopsyReport12AR_Tox_Grid, Toxicology," """"",,,,,,
AutopsyReport12AR_Tox_Grid," """"", AR_Substance, System.String,autopsy_report/toxicology/substance,,,,
AutopsyReport12AR_Tox_Grid," """"", AR_SubConcen, System.Double,autopsy_report/toxicology/concentration,,,,
AutopsyReport12AR_Tox_Grid," """"", AR_Unit, System.String,autopsy_report/toxicology/unit_of_measure,,,,
AutopsyReport12AR_Tox_Grid," """"", AR_SubRating, System.String,autopsy_report/toxicology/level,,,,
AutopsyReport12AR_Tox_Grid," """"", Comments, System.String,autopsy_report/toxicology/comment,,,,
ChildBirthCertificate10PO_CoFD_grid, Causes of fetal death," """"",,,,,,
ChildBirthCertificate10PO_CoFD_grid," """"", Type, System.String,birth_certificate_infant_fetal_section/causes_of_death/type,,,,
ChildBirthCertificate10PO_CoFD_grid," """"", PO_CoFDClass, System.String,birth_certificate_infant_fetal_section/causes_of_death/class,,,,
ChildBirthCertificate10PO_CoFD_grid," """"", PO_CoFDCompSub, System.String,birth_certificate_infant_fetal_section/causes_of_death/complication_subclass,,,,
ChildBirthCertificate10PO_CoFD_grid," """"", PO_CoFDOthr, System.String,birth_certificate_infant_fetal_section/causes_of_death/other_specify,,,,
ChildBirthCertificate10PO_CoFD_grid," """"", PO_CoDICD, System.String,birth_certificate_infant_fetal_section/causes_of_death/icd_code,,,,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,,,(blank),in MMRIA this is not a grid but a multi-select list
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,10 - Hemorrhage (excludes aneurysms or CVA),10,10 Hemorrhage (Excludes Aneurysms or CVA),
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,10.1 - Hemorrhage – rupture/laceration/intraabdominal bleeding,10.1,10.1 Hemorrhage - Rupture/Laceration/Intraabdominal Bleeding,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,10.2 - Placental abruption,10.2,10.2 Placental Abruption,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,10.3 - Placenta previa,10.3,10.3 Placenta Previa,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,10.4 - Ruptured ectopic pregnancy,10.4,10.4 Ruptured Ectopic Pregnancy,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,10.5 - Hemorrhage – uterine atony/post-partum hemorrhage,10.5,10.5 Hemorrhage - Uterine Atony/Post-Partum Hemorrhage,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,10.6 - Placenta acreta/increta/percreta,10.6,10.6 Placenta Accreta/Increta/Percreta,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,10.7 - Hemorrhage due to retained placenta,10.7,10.7 Hemorrhage due to Retained Placenta,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,10.8 - Hemorrhage due to primary DIC,10.8,10.8 Hemorrhage due to Primary DIC,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,10.9 - Other hemorrhage/NOS,10.9,10.9 Other Hemorrhage/NOS,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,20 - Infection,20,20 Infection,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,"20.1 - Post-partum genital tract (e.g., of the uterus/pelvis/perineum/necrotizing fasciitis)",20.1,20.1 Post-Partum Genital Tract (e.g. of the Uterus/Pelvis/Perineum/Necrotizing Fasciitis),
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,20.2 - Sepsis/septic shock,20.2,20.2 Sepsis/Septic Shock,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,20.0 - Chorioamnionitis/antepartum infection,20,20.4 Chorioamnionitis/Antepartum Infection,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,"20.5 - Non-pelvic infections (e.g., pneumonia, tb, meningitis, HIV)",20.5,"20.5 Non-Pelvic Infections (e.g. Pneumonia, TB, Meningitis, HIV)",
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,20.6 - Urinary tract infection,20.6,20.6 Urinary Tract Infection,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,20.9 - Other infections/NOS,20.9,20.9 Other Infections/NOS,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,30 - Embolism - thrombotic (non-cerebral),30,30 Embolism - Thrombotic (non-cerebral),
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,30.9 - Other embolism/NOS,30.9,30.9 Other Embolism/NOS,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,31 - Embolism – amniotic fluid,31,31 Embolism - Amniotic Fluid,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,40 - Pre-eclampsia,40,40 Preeclampsia,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,50 - Eclampsia,50,50 Eclampsia,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,60 - Chronic hypertension with superimposed pre/eclampsia,60,60 Chronic Hypertension with Superimposed Preeclampsia,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,70 - Anesthesia complications,70,70 Anesthesia Complications,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,80 - Cardiomyopathy,80,80 Cardiomyopathy,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,80.1 - Post-partum/peripartum cardiomyopathy,80.1,80.1 Post-Partum/Peripartum Cardiomyopathy,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,80.2 - Hypertrophic cardiomyopathy,80.2,80.2 Hypertrophic Cardiomyopathy,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,80.9 - Other cardiomyopathy/NOS,80.9,80.9 Other Cardiomyopathy/NOS,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,82 - Hematologic,82,82 Hematologic,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,82.1 - Sickle cell anemia,82.1,82.1 Sickle Cell Anemia,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,82.9 - Other hematologic conditions including thrombophilias/NOS,82.9,82.9 Other Hematologic Conditions including Thrombophilias/TTP/HUS/NOS,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,83 - Collagen vascular/auto immune diseases,83,83 Collagen Vascular/Auto Immune Diseases,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,83.1 - Systemic lupus erythematosis (SLE),83.1,83.1 Systemic Lupus Erythematosus (SLE),
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,83.9 - Other collagen vascular diseases/NOS,83.9,83.9 Other Collagen Vascular Diseases/NOS,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,"85 - Conditions unique to pregnancy (e.g., gestational diabetes, hyperemesis, liver disease of pregnancy",85,"85 Conditions Unique to Pregnancy (e.g. Gestational Diabetes, Hyperemesis, Liver Disease of Pregnancy)",
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,88 - Injury,88,88 Injury,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,88.1 - Intentional,88.1,88.1 Intentional (Homicide),
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,88.2 - Unintentional,88.2,88.2 Unintentional,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,88.9 - Unknown/NOS,88.9,88.9 Unknown/NOS,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,89 - Cancer,89,89 Cancer,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,89.1 - Gestational trophoblastic disease (GTN),89.1,89.1 Gestational Trophoblastic Disease (GTN),
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,89.3 - Malignant melanoma,89.3,89.3 Malignant Melanoma,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,89.9 - Other malignancies/NOS,89.9,89.9 Other Malignancies/NOS,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,90 - Cardiovascular conditions,90,90 Cardiovascular Conditions,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,90.1 - Coronary artery disease/myocardial infarction (MI)/atherosclerotic cardiovascular disease,90.1,90.1 Coronary Artery Disease/Myocardial Infarction (MI)/Atherosclerotic Cardiovascular Disease,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,90.2 - Pulmonary hypertension,90.2,90.2 Pulmonary Hypertension,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,90.3 - Valvular heart disease,90.3,90.3 Valvular Heart Disease Congenital and Acquired,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,90.4 - Vascular aneurysm/dissection,90.4,90.4 Vascular Aneurysm/Dissection (Non-Cerebral),
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,90.5 - Hypertensive cardiovascular disease,90.5,90.5 Hypertensive Cardiovascular Disease,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,,90.6,90.6 Marfan's Syndrome,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,90.7 - Conduction defects/arrhythmias,90.7,90.7 Conduction Defects/Arrhythmias,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,,90.8,90.8 Vascular Malformations Outside Head and Coronary Arteries,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,90.9 - Other cardiovascular disease/NOS,90.9,"90.9 Other Cardiovascular Disease, including CHF, Cardiomegaly, Cardiac Hypertrophy, Cardiac Fibrosis, Non-Acute Myocarditis/NOS",
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,91 - Pulmonary conditions (excludes ARDS (Adult respiratory distress syndrome),91,91 Pulmonary Conditions (Excludes ARDS (Adult Respiratory Distress Syndrome)),
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,91.1 - Chronic lung disease,91.1,91.1 Chronic Lung Disease,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,91.2 - Cystic fibrosis,91.2,91.2 Cystic Fibrosis,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,91.3 - Asthma,91.3,91.3 Asthma,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,91.9 - Other pulmonary disease/NOS,91.9,91.9 Other Pulmonary Disease/NOS,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,92 - Neurologic/neurovascular conditions (excluding CVAs)),92,92 Neurologic/Neurovascular Conditions (Excluding CVAs),
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,92.1 - Epilepsy/seizure disorder,92.1,92.1 Epilepsy/Seizure Disorder,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,92.9 - Other neurologic diseases/NOS,92.9,92.9 Other Neurologic Diseases/NOS,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,93 - Renal Disease,93,93 Renal Disease,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,93.1 - Chronic renal failure/End-stage renal disease (ESRD),93.1,93.1 Chronic Renal Failure/End-Stage Renal Disease (ESRD),
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,93.9 - Other renal disease/NOS,93.9,93.9 Other Renal Disease/NOS,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,95 - Cerebrovascular accident (hemorrhage/thrombosis/aneurysm/malformation) not secondary to hypertensive disease,95,95 CerebrovascularAccident (Hemorrhage/Thrombosis/Aneurysm/Malformation) not secondary to Hypertension,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,96 - Metabolic/endocrine,96,96 Metabolic/Endocrine,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,96.1 - Obesity,96.1,96.1 Obesity,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,96.2 - Diabetes mellitus,96.2,96.2 Diabetes Mellitus,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,96.9 - Other metabolic/endocrine disorders,96.9,96.9 Other Metabolic/Endocrine Disorders,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,97 - Gastrointestinal disorders,97,97 Gastrointestinal Disorders,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,97.1 - Crohn’s disease/ulcerative colitis,97.1,97.1 Crohn's Disease/Ulcerative Colitis,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,97.2 - Liver disease/failure/transplant,97.2,97.2 Liver Disease/Failure/Transplant,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,97.9 - Other gastrointestinal diseases/NOS,97.9,97.9 Other Gastrointestinal Diseases/NOS,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,100 - Mental health conditions,100,100 Mental Health Conditions,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,100.1 - Depression/suicide,100.1,100.1 Depression,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,100.9 - Other psychiatric conditions/NOS,100.9,100.9 Other Psychiatric Conditions/NOS,
CommitteeReview28CR_CDCICDMM_grd/0," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,999 - Unknown COD,999,999 Unknown COD,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,,,(blank),in MMRIA this is not a grid but a multi-select list
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,10 - Hemorrhage (excludes aneurysms or CVA),10,10 Hemorrhage (Excludes Aneurysms or CVA),
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,10.1 - Hemorrhage – rupture/laceration/intraabdominal bleeding,10.1,10.1 Hemorrhage - Rupture/Laceration/Intraabdominal Bleeding,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,10.2 - Placental abruption,10.2,10.2 Placental Abruption,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,10.3 - Placenta previa,10.3,10.3 Placenta Previa,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,10.4 - Ruptured ectopic pregnancy,10.4,10.4 Ruptured Ectopic Pregnancy,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,10.5 - Hemorrhage – uterine atony/post-partum hemorrhage,10.5,10.5 Hemorrhage - Uterine Atony/Post-Partum Hemorrhage,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,10.6 - Placenta acreta/increta/percreta,10.6,10.6 Placenta Accreta/Increta/Percreta,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,10.7 - Hemorrhage due to retained placenta,10.7,10.7 Hemorrhage due to Retained Placenta,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,10.8 - Hemorrhage due to primary DIC,10.8,10.8 Hemorrhage due to Primary DIC,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,10.9 - Other hemorrhage/NOS,10.9,10.9 Other Hemorrhage/NOS,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,20 - Infection,20,20 Infection,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,"20.1 - Post-partum genital tract (e.g., of the uterus/pelvis/perineum/necrotizing fasciitis)",20.1,20.1 Post-Partum Genital Tract (e.g. of the Uterus/Pelvis/Perineum/Necrotizing Fasciitis),
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,20.2 - Sepsis/septic shock,20.2,20.2 Sepsis/Septic Shock,
CommitteeReview28CR_CDCICDMM_grd/2," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,20.0 - Chorioamnionitis/antepartum infection,20,20.4 Chorioamnionitis/Antepartum Infection,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,"20.5 - Non-pelvic infections (e.g., pneumonia, tb, meningitis, HIV)",20.5,"20.5 Non-Pelvic Infections (e.g. Pneumonia, TB, Meningitis, HIV)",
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,20.6 - Urinary tract infection,20.6,20.6 Urinary Tract Infection,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,20.9 - Other infections/NOS,20.9,20.9 Other Infections/NOS,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,30 - Embolism - thrombotic (non-cerebral),30,30 Embolism - Thrombotic (non-cerebral),
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,30.9 - Other embolism/NOS,30.9,30.9 Other Embolism/NOS,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,31 - Embolism – amniotic fluid,31,31 Embolism - Amniotic Fluid,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,40 - Pre-eclampsia,40,40 Preeclampsia,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,50 - Eclampsia,50,50 Eclampsia,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,60 - Chronic hypertension with superimposed pre/eclampsia,60,60 Chronic Hypertension with Superimposed Preeclampsia,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,70 - Anesthesia complications,70,70 Anesthesia Complications,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,80 - Cardiomyopathy,80,80 Cardiomyopathy,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,80.1 - Post-partum/peripartum cardiomyopathy,80.1,80.1 Post-Partum/Peripartum Cardiomyopathy,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,80.2 - Hypertrophic cardiomyopathy,80.2,80.2 Hypertrophic Cardiomyopathy,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,80.9 - Other cardiomyopathy/NOS,80.9,80.9 Other Cardiomyopathy/NOS,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,82 - Hematologic,82,82 Hematologic,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,82.1 - Sickle cell anemia,82.1,82.1 Sickle Cell Anemia,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,82.9 - Other hematologic conditions including thrombophilias/NOS,82.9,82.9 Other Hematologic Conditions including Thrombophilias/TTP/HUS/NOS,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,83 - Collagen vascular/auto immune diseases,83,83 Collagen Vascular/Auto Immune Diseases,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,83.1 - Systemic lupus erythematosis (SLE),83.1,83.1 Systemic Lupus Erythematosus (SLE),
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,83.9 - Other collagen vascular diseases/NOS,83.9,83.9 Other Collagen Vascular Diseases/NOS,
CommitteeReview28CR_CDCICDMM_grd/1," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm_secondary,"85 - Conditions unique to pregnancy (e.g., gestational diabetes, hyperemesis, liver disease of pregnancy",85,"85 Conditions Unique to Pregnancy (e.g. Gestational Diabetes, Hyperemesis, Liver Disease of Pregnancy)",
