table,prompt,field,data_type,mmria_path,
AutopsyReport12AR_COD_grid, Coroner / Medical Examiner Causes of Death," """"",,,
AutopsyReport12AR_COD_grid," """"", AR_COD1, System.String,autopsy_report/causes_of_death/cause,
AutopsyReport12AR_COD_grid," """"", AR_ICDcode, System.String,autopsy_report/causes_of_death/icd_code,
AutopsyReport12AR_COD_grid," """"", AR_CODCom, System.String,autopsy_report/causes_of_death/comment,
AutopsyReport12AR_COD_grid," """"", AR_CODType, System.String,autopsy_report/causes_of_death/type,
AutopsyReport11AR_Gross_grid, Gross findings," """"",,,
AutopsyReport11AR_Gross_grid," """"", AR_Finding, System.String,autopsy_report/relevant_maternal_death_findings/gross_findings/finding,
AutopsyReport11AR_Gross_grid," """"", AR_FindCom, System.String,autopsy_report/relevant_maternal_death_findings/gross_findings/comment,
AutopsyReport11AR_Micro_grid, Microscopic findings," """"",,,
AutopsyReport11AR_Micro_grid," """"", AR_MicroFind, System.String,autopsy_report/relevant_maternal_death_findings/microscopic_findings/finding,
AutopsyReport11AR_Micro_grid," """"", AR_MicroCom, System.String,autopsy_report/relevant_maternal_death_findings/microscopic_findings/comment,
AutopsyReport12AR_Tox_Grid, Toxicology," """"",,,
AutopsyReport12AR_Tox_Grid," """"", AR_Substance, System.String,autopsy_report/toxicology/substance,
AutopsyReport12AR_Tox_Grid," """"", AR_Unit, System.String,autopsy_report/toxicology/unit_of_measure,
AutopsyReport12AR_Tox_Grid," """"", Comments, System.String,autopsy_report/toxicology/comment,
AutopsyReport12AR_Tox_Grid," """"", AR_SubRating, System.String,autopsy_report/toxicology/level,
AutopsyReport12AR_Tox_Grid," """"", AR_SubConcen, System.Double,autopsy_report/toxicology/concentration,
ChildBirthCertificate10PO_CoFD_grid, Causes of fetal death," """"",,,
ChildBirthCertificate10PO_CoFD_grid," """"", Type, System.String,birth_certificate_infant_fetal_section/causes_of_death/type,
ChildBirthCertificate10PO_CoFD_grid," """"", PO_CoFDClass, System.String,birth_certificate_infant_fetal_section/causes_of_death/class,
ChildBirthCertificate10PO_CoFD_grid," """"", PO_CoFDCompSub, System.String,birth_certificate_infant_fetal_section/causes_of_death/complication_subclass,
ChildBirthCertificate10PO_CoFD_grid," """"", PO_CoFDOthr, System.String,birth_certificate_infant_fetal_section/causes_of_death/other_specify,
ChildBirthCertificate10PO_CoFD_grid," """"", PO_CoDICD, System.String,birth_certificate_infant_fetal_section/causes_of_death/icd_code,
CommitteeReview28CR_CDCICDMM_grd, If Pregnancy Related Committee determination of Underlying cause(s) of death*," """"",,,
CommitteeReview28CR_CDCICDMM_grd," """"", CR_CDCMMCode, System.String,committee_review/pmss_mm,in MMRIA this is not a grid but a multi-select list
CommitteeReview28CR_CoD_grid, Committee Determination of Cause(s) of Death," """"",,,
CommitteeReview28CR_CoD_grid," """"", CR_CodeType, System.String,committee_review/committee_determination_of_causes_of_death/type,
CommitteeReview28CR_CoD_grid," """"", CR_CoD2, System.String,committee_review/committee_determination_of_causes_of_death/cause_descriptive,
CommitteeReview28CR_CoD_grid," """"", CR_Comm, System.String,committee_review/committee_determination_of_causes_of_death/comments,
CommitteeReview29CR_FactAct_grid, Critical Factors Worksheet," """"",,,
CommitteeReview29CR_FactAct_grid," """"", CR_FactorCat, System.String,committee_review/critical_factors_worksheet/category,
CommitteeReview29CR_FactAct_grid," """"", CR_Factor1, System.String,committee_review/critical_factors_worksheet/class,
CommitteeReview29CR_FactAct_grid," """"", CR_FactorDesc, System.String,committee_review/critical_factors_worksheet/description,
CommitteeReview29CR_FactAct_grid," """"", CR_Action, System.String,committee_review/critical_factors_worksheet/actions,
CommitteeReview29CR_FactAct_grid," """"", CR_Delay, System.String," """"",missing- add between Actions and Prevention fields
CommitteeReview29CR_FactAct_grid," """"", CR_PreventType, System.String,committee_review/critical_factors_worksheet/prevention,
CommitteeReview29CR_FactAct_grid," """"", CR_ImpactLev, System.String,committee_review/critical_factors_worksheet/impact_level,
DeathCertificate4DC_CoD_grid, Causes of Death (enter UNDERLYING cause first)," """"",,,
DeathCertificate4DC_CoD_grid," """"", DC_ICD, System.String,death_certificate/causes_of_death/icd_code,
DeathCertificate4DC_CoD_grid," """"", DC_CoDInterval, System.Double,death_certificate/causes_of_death/interval,
DeathCertificate4DC_CoD_grid," """"", DC_CoDUnit, System.String,death_certificate/causes_of_death/interval_unit,
DeathCertificate4DC_CoD_grid," """"", DC_CoDType, System.String,death_certificate/causes_of_death/cause_type,
DeathCertificate4DC_CoD_grid," """"", DC_CoDCause, System.String,death_certificate/causes_of_death/cause_description,
Hospitalization22MR_Anesth_grid, Anesthesia," """"",,,
Hospitalization22MR_Anesth_grid," """"", MR_ANesthMeth, System.String," """"",
Hospitalization22MR_Anesth_grid," """"", MR_AnesthCompl, System.String," """"",
Hospitalization22MR_Anesth_grid," """"", MR_AnesthDate, System.DateTime," """"",
Hospitalization22MR_BA_grid, Birth attendant(s)," """"",,,
Hospitalization22MR_BA_grid," """"", MR_BATitle, System.String," """"",
Hospitalization22MR_BA_grid," """"", MR_BAOther, System.String," """"",
Hospitalization22MR_BA_grid," """"", MR_BANPI, System.String," """"",
Hospitalization23MR_BB_grid, Were there any blood or blood product transfusions?," """"",,,
Hospitalization23MR_BB_grid," """"", MR_BBProduct, System.String,er_visit_and_hospital_medical_records/blood_product_grid/product,
Hospitalization23MR_BB_grid," """"", MR_BBNUnits, System.String,er_visit_and_hospital_medical_records/blood_product_grid/number_of_units,
Hospitalization23MR_BB_grid," """"", MR_BBReacComp, System.String,er_visit_and_hospital_medical_records/blood_product_grid/reaction_complications,
Hospitalization23MR_BB_grid," """"", MR_BBDate, System.DateTime,er_visit_and_hospital_medical_records/blood_product_grid/date_and_time,
Hospitalization20MR_ITran_grid, Internal Transfers," """"",,,
Hospitalization20MR_ITran_grid," """"", MR_ITranDate, System.DateTime,er_visit_and_hospital_medical_records/internal_transfers/date_and_time,
Hospitalization20MR_ITran_grid," """"", MR_ITranFromU, System.String,er_visit_and_hospital_medical_records/internal_transfers/from_unit,
Hospitalization20MR_ITran_grid," """"", MR_ITranToU, System.String,er_visit_and_hospital_medical_records/internal_transfers/to_unit,
Hospitalization20MR_ITran_grid," """"", MR_ITransComm, System.String,er_visit_and_hospital_medical_records/internal_transfers/comments,
Hospitalization21MR_Lab_grid, Laboratory tests," """"",,,
Hospitalization21MR_Lab_grid," """"", MR_LabSpec, System.String,er_visit_and_hospital_medical_records/labratory_tests/specimen,
Hospitalization21MR_Lab_grid," """"", MR_LabTest, System.String,er_visit_and_hospital_medical_records/labratory_tests/test_name,
Hospitalization21MR_Lab_grid," """"", MR_LabResult, System.String,er_visit_and_hospital_medical_records/labratory_tests/result,
Hospitalization21MR_Lab_grid," """"", MR_LabDiagLev, System.String,er_visit_and_hospital_medical_records/labratory_tests/diagnostic_level,
Hospitalization21MR_Lab_grid," """"", MR_LabFlag, System.String,er_visit_and_hospital_medical_records/labratory_tests/flag,
Hospitalization21MR_Lab_grid," """"", MR_LabDate, System.DateTime,er_visit_and_hospital_medical_records/labratory_tests/date_and_time,
Hospitalization23MR_Meds_grid, List of medications," """"",,,
Hospitalization23MR_Meds_grid," """"", MR_MedsName, System.String,er_visit_and_hospital_medical_records/list_of_medications/medication,
Hospitalization23MR_Meds_grid," """"", MR_MedsDUFD, System.String,er_visit_and_hospital_medical_records/list_of_medications/dose_frequency_duration,
Hospitalization23MR_Meds_grid," """"", MR_MedsAReact, System.String,er_visit_and_hospital_medical_records/list_of_medications/adverse_reaction,
Hospitalization23MR_Meds_grid," """"", MR_MedsDate, System.DateTime,er_visit_and_hospital_medical_records/list_of_medications/date_and_time,
Hospitalization21MR_MExam_grid, Psychological examinations and assessments," """"",,,
Hospitalization21MR_MExam_grid," """"", MR_MExamAssess, System.String,er_visit_and_hospital_medical_records/psychological_exam_and_assesments/exam_assessments,
Hospitalization21MR_MExam_grid," """"", MR_MExamFind, System.String,er_visit_and_hospital_medical_records/psychological_exam_and_assesments/findings,
Hospitalization21MR_MExam_grid," """"", MR_MExamBy, System.String,er_visit_and_hospital_medical_records/psychological_exam_and_assesments/performed_by,
Hospitalization21MR_MExam_grid," """"", MR_MExamDate, System.DateTime,er_visit_and_hospital_medical_records/psychological_exam_and_assesments/date_and_time,
Hospitalization21MR_Path_grid, Pathology," """"",,,
Hospitalization21MR_Path_grid," """"", MR_PathSpec, System.String,er_visit_and_hospital_medical_records/pathology/exam_assessments,
Hospitalization21MR_Path_grid," """"", MR_PathEType, System.String,er_visit_and_hospital_medical_records/pathology/exam_type,
Hospitalization21MR_Path_grid," """"", MR_PathFind, System.String,er_visit_and_hospital_medical_records/pathology/findings,
Hospitalization21MR_Path_grid," """"", MR_PathDate, System.DateTime,er_visit_and_hospital_medical_records/pathology/date_and_time,
Hospitalization21MR_PExam_grid, Physical examinations and evaluations," """"",,,
Hospitalization21MR_PExam_grid," """"", MR_PExamFind, System.String,er_visit_and_hospital_medical_records/physical_exam_and_evaluations/findings,
Hospitalization21MR_PExam_grid," """"", MR_PExamBy, System.String,er_visit_and_hospital_medical_records/physical_exam_and_evaluations/performed_by,
Hospitalization21MR_PExam_grid," """"", MR_ExamExEv, System.String,er_visit_and_hospital_medical_records/physical_exam_and_evaluations/exam_evaluation,
Hospitalization21MR_PExam_grid," """"", MR_PExamDate, System.DateTime,er_visit_and_hospital_medical_records/physical_exam_and_evaluations/date_and_time,
Hospitalization24MR_RF_grid, Referrals and consultations," """"",,,
Hospitalization24MR_RF_grid," """"", MR_RFDate, System.DateTime,er_visit_and_hospital_medical_records/referrals_and_consultations/date,
Hospitalization24MR_RF_grid," """"", MR_RFReas, System.String,er_visit_and_hospital_medical_records/referrals_and_consultations/reason,
Hospitalization24MR_RF_grid," """"", MR_RFRecommend, System.String,er_visit_and_hospital_medical_records/referrals_and_consultations/recommendations,
Hospitalization24MR_RF_grid," """"", MR_RFSpecialty, System.String,er_visit_and_hospital_medical_records/referrals_and_consultations/specialist_type,
Hospitalization23MR_Surg_grid, Were there any surgical procedures?," """"",,,
Hospitalization23MR_Surg_grid," """"", MR_SurgHUnit, System.String,er_visit_and_hospital_medical_records/surgical_procedures/hospital_unit,
Hospitalization23MR_Surg_grid," """"", MR_SurgProc, System.String,er_visit_and_hospital_medical_records/surgical_procedures/procedure,
Hospitalization23MR_Surg_grid," """"", MR_SurgBy, System.String,er_visit_and_hospital_medical_records/surgical_procedures/performed_by,
Hospitalization23MR_Surg_grid," """"", MR_SurgOutcome, System.String,er_visit_and_hospital_medical_records/surgical_procedures/outcome,
Hospitalization23MR_Surg_grid," """"", MR_SurgDate, System.DateTime,er_visit_and_hospital_medical_records/surgical_procedures/date_and_time,
Hospitalization23MR_Techn_grid, Diagnostic imaging and other technology," """"",,,
Hospitalization23MR_Techn_grid," """"", MR_TechnTarget, System.String,er_visit_and_hospital_medical_records/diagnostic_imaging_grid/target,
Hospitalization23MR_Techn_grid," """"", MR_TechnFind, System.String,er_visit_and_hospital_medical_records/diagnostic_imaging_grid/finding,
Hospitalization23MR_Techn_grid," """"", MR_TechnType, System.String,er_visit_and_hospital_medical_records/diagnostic_imaging_grid/procedure,
Hospitalization23MR_Techn_grid," """"", MR_TechnDate, System.DateTime,er_visit_and_hospital_medical_records/diagnostic_imaging_grid/date_and_time,
Hospitalization22MR_Vitalsigns_grid, Vital signs," """"",,,
Hospitalization22MR_Vitalsigns_grid," """"", MR_VSSystolic, System.Double,er_visit_and_hospital_medical_records/vital_signs/bp_systolic,
Hospitalization22MR_Vitalsigns_grid," """"", MR_VSPulse, System.Double,er_visit_and_hospital_medical_records/vital_signs/pulse,
Hospitalization22MR_Vitalsigns_grid," """"", MR_VSRespir, System.Double,er_visit_and_hospital_medical_records/vital_signs/respiration,
Hospitalization22MR_Vitalsigns_grid," """"", MR_VSTemp, System.Double,er_visit_and_hospital_medical_records/vital_signs/temperature,
Hospitalization22MR_Vitalsigns_grid," """"", MR_VSDiastolic, System.Double,er_visit_and_hospital_medical_records/vital_signs/bp_diastolic,
Hospitalization22MR_Vitalsigns_grid," """"", MR_VSDate, System.DateTime,er_visit_and_hospital_medical_records/vital_signs/date_and_time,
OfficeVisits25MV_FamHist_grid, Relevant Family History," """"",,,
OfficeVisits25MV_FamHist_grid," """"", MV_FHCom, System.String,other_medical_office_visits/relevant_family_history/comments,
OfficeVisits25MV_FamHist_grid," """"", MV_FHFind, System.String,other_medical_office_visits/relevant_family_history/finding,
OfficeVisits26MV_Lab_grid, Laboratory tests," """"",,,
OfficeVisits26MV_Lab_grid," """"", MV_LabSpec, System.String,other_medical_office_visits/laboratory_tests/specimen,
OfficeVisits26MV_Lab_grid," """"", MV_LabTest, System.String,other_medical_office_visits/laboratory_tests/test_name,
OfficeVisits26MV_Lab_grid," """"", MV_LabResult, System.String,other_medical_office_visits/laboratory_tests/result,
OfficeVisits26MV_Lab_grid," """"", MV_LabDiagLev, System.String,other_medical_office_visits/laboratory_tests/diagnostic_level,
OfficeVisits26MV_Lab_grid," """"", MV_LabFlag, System.String,other_medical_office_visits/laboratory_tests/flag,
OfficeVisits26MV_Lab_grid," """"", MV_LabDate, System.DateTime,other_medical_office_visits/laboratory_tests/date_and_time,
OfficeVisits25MV_MedHist_grid, Relevant Medical History," """"",,,
OfficeVisits25MV_MedHist_grid," """"", MV_MHCom, System.String,other_medical_office_visits/relevant_medical_history/comments,
OfficeVisits25MV_MedHist_grid," """"", MV_MHFind, System.String,other_medical_office_visits/relevant_medical_history/finding,
OfficeVisits27MV_Meds_grid, Medications," """"",,,
OfficeVisits27MV_Meds_grid," """"", MV_MedsName, System.String,other_medical_office_visits/medications/medication_name,
OfficeVisits27MV_Meds_grid," """"", MV_MedsDUFD, System.String,other_medical_office_visits/medications/dose_frequeny_duration,
OfficeVisits27MV_Meds_grid," """"", MV_MedsAReact, System.String,other_medical_office_visits/medications/adverse_reaction,
OfficeVisits27MV_Meds_grid," """"", MV_MedsDate, System.DateTime,other_medical_office_visits/medications/date_and_time,
OfficeVisits26MV_PE_grid, Physical exam," """"",,,
OfficeVisits26MV_PE_grid," """"", MV_PEFind, System.String,other_medical_office_visits/physical_exam/finding,
OfficeVisits26MV_PE_grid," """"", MV_PESys1, System.String,other_medical_office_visits/physical_exam/body_system,
OfficeVisits26MV_PE_grid," """"", MV_PECom, System.String,other_medical_office_visits/physical_exam/comment,
OfficeVisits27MV_RF_grid, Referrals and consultations," """"",,,
OfficeVisits27MV_RF_grid," """"", MV_RFDate, System.DateTime,other_medical_office_visits/referrals_and_consultations/date,
OfficeVisits27MV_RF_grid," """"", MV_RFSpecialty, System.String,other_medical_office_visits/referrals_and_consultations/speciality,
OfficeVisits27MV_RF_grid," """"", MV_RFReas, System.String,other_medical_office_visits/referrals_and_consultations/reason,
OfficeVisits27MV_RF_grid," """"", MV_RFRecommend, System.String,other_medical_office_visits/referrals_and_consultations/recommendations,
OfficeVisits25MV_SocHist_grid, Relevant social history," """"",,,
OfficeVisits25MV_SocHist_grid," """"", MV_SHCom, System.String,other_medical_office_visits/relevant_social_history/comments,
OfficeVisits25MV_SocHist_grid," """"", MV_SHFind, System.String,other_medical_office_visits/relevant_social_history/finding,
OfficeVisits26MV_Techn_grid, Diagnostic imaging and other technology," """"",,,
OfficeVisits26MV_Techn_grid," """"", MV_TechnType, System.String,other_medical_office_visits/diagnostic_imaging_and_other_technology/technology_type,
OfficeVisits26MV_Techn_grid," """"", MV_TechnTarget, System.String,other_medical_office_visits/diagnostic_imaging_and_other_technology/target_procedure,
OfficeVisits26MV_Techn_grid," """"", MV_TechnFind, System.String,other_medical_office_visits/diagnostic_imaging_and_other_technology/finding,
OfficeVisits26MV_Techn_grid," """"", MV_TechnDate, System.DateTime,other_medical_office_visits/diagnostic_imaging_and_other_technology/date_and_time,
OfficeVisits26MV_Vitalsigns_grid, Vital signs," """"",,,
OfficeVisits26MV_Vitalsigns_grid," """"", MV_VSDate, System.DateTime,other_medical_office_visits/vital_signs/date_and_time,
OfficeVisits26MV_Vitalsigns_grid," """"", MV_VSTemp, System.Double,other_medical_office_visits/vital_signs/temperature,
OfficeVisits26MV_Vitalsigns_grid," """"", MV_VSRespir, System.Double,other_medical_office_visits/vital_signs/respiration,
OfficeVisits26MV_Vitalsigns_grid," """"", MV_VSSystolic, System.Double,other_medical_office_visits/vital_signs/bp_systolic,
OfficeVisits26MV_Vitalsigns_grid," """"", MV_VSDiastolic, System.Double,other_medical_office_visits/vital_signs/bp_diastolic,
OfficeVisits26MV_Vitalsigns_grid," """"", MV_VSPulse, System.Double,other_medical_office_visits/vital_signs/pulse,
OfficeVisits27MV_VSum_grid, Visit summary," """"",,,
OfficeVisits27MV_VSum_grid," """"", MV_VSAbnFind, System.String,other_medical_office_visits/new_grid/abnormal_findings,
OfficeVisits27MV_VSum_grid," """"", MV_RecomAP, System.String,other_medical_office_visits/new_grid/recommendations_and_action_plans,
PrenatalCareRecord13PC_FamHist_grid, Family medical history," """"",,,
PrenatalCareRecord13PC_FamHist_grid," """"", PC_FHAgeDied, System.Double,prenatal/family_medical_history/age_at_death,
PrenatalCareRecord13PC_FamHist_grid," """"", PC_FHRelat, System.String,prenatal/family_medical_history/relation,
PrenatalCareRecord13PC_FamHist_grid," """"", PC_FHLive, System.String,prenatal/family_medical_history/is_living,
PrenatalCareRecord13PC_FamHist_grid," """"", PC_FHCond, System.String,prenatal/family_medical_history/condition,
PrenatalCareRecord13PC_FamHist_grid," """"", PC_FHComm, System.String,prenatal/family_medical_history/comments,
PrenatalCareRecord16PC_HospER_grid, Were there pre-delivery hospitalizations or ER visits?," """"",,,
PrenatalCareRecord16PC_HospER_grid," """"", PC_HospERDuration, System.String," """"",
PrenatalCareRecord16PC_HospER_grid," """"", PC_HospERReason, System.String," """"",
PrenatalCareRecord16PC_HospER_grid," """"", PC_HospERCom, System.String," """"",
PrenatalCareRecord16PC_HospER_grid," """"", PC_HospERDate, System.DateTime," """"",
PrenatalCareRecord16PC_HospER_grid," """"", PC_HospERFac, System.String," """"",
PrenatalCareRecord13PC_MedHist_grid, Were there pre-existing medical conditions?," """"",,,
PrenatalCareRecord13PC_MedHist_grid," """"", PC_MHCond, System.String,prenatal/pre_existing_conditons_grid/condition,
PrenatalCareRecord13PC_MedHist_grid," """"", PC_MHDur, System.String,prenatal/pre_existing_conditons_grid/duration,
PrenatalCareRecord13PC_MedHist_grid," """"", PC_MHComm, System.String,prenatal/pre_existing_conditons_grid/comments,
PrenatalCareRecord16PC_Meds_grid, List of medications / drugs during pregnancy," """"",,,
PrenatalCareRecord16PC_Meds_grid," """"", PC_MedsReasn, System.String,prenatal/medications_and_drugs_during_pregnancy/reason,
PrenatalCareRecord16PC_Meds_grid," """"", PC_MedsDate, System.DateTime,prenatal/medications_and_drugs_during_pregnancy/date,
PrenatalCareRecord16PC_Meds_grid," """"", PC_MedsDrug, System.String,prenatal/medications_and_drugs_during_pregnancy/medication,
PrenatalCareRecord16PC_Meds_grid," """"", PC_MedsReact, System.String,prenatal/medications_and_drugs_during_pregnancy/is_adverse_reaction,
PrenatalCareRecord16PC_Meds_grid," """"", PC_MedsDose, System.String,prenatal/medications_and_drugs_during_pregnancy/dose_frequency_duration,
PrenatalCareRecord15PC_OthrTest_Grid, Other laboratory tests," """"",,,
PrenatalCareRecord15PC_OthrTest_Grid," """"", PC_OTCom, System.String,prenatal/other_lab_tests/comments,
PrenatalCareRecord15PC_OthrTest_Grid," """"", PC_OTResults, System.String,prenatal/other_lab_tests/results,
PrenatalCareRecord15PC_OthrTest_Grid," """"", PC_OTProc, System.String,prenatal/other_lab_tests/test_or_procedure,
PrenatalCareRecord15PC_OthrTest_Grid," """"", PC_OTDate, System.DateTime,prenatal/other_lab_tests/date_and_time,
PrenatalCareRecord14PC_PgHist_grid, Pregnancy history," """"",,,
PrenatalCareRecord14PC_PgHist_grid," """"", Gestationalagewks, System.Double,prenatal/pregnancy_history/details_grid/gestational_age,
PrenatalCareRecord14PC_PgHist_grid," """"", PC_PHMethDel, System.String,prenatal/pregnancy_history/details_grid/method_of_delivery,
PrenatalCareRecord14PC_PgHist_grid," """"", PC_PHDate, System.DateTime,prenatal/pregnancy_history/details_grid/date_ended,
PrenatalCareRecord14PC_PgHist_grid," """"", PC_PHBWgt, System.Double,prenatal/pregnancy_history/details_grid/birth_weight,
PrenatalCareRecord14PC_PgHist_grid," """"", PC_PHOutcome, System.String,prenatal/pregnancy_history/details_grid/outcome,
PrenatalCareRecord14PC_PgHist_grid," """"", PC_PHCompl, System.String,prenatal/pregnancy_history/details_grid/complications,
PrenatalCareRecord14PC_PgHist_grid," """"", PC_PHLBLive, System.String,prenatal/pregnancy_history/details_grid/is_now_living,
PrenatalCareRecord15PC_PgProb_Grid, Were there problems identified during the current pregnancy?," """"",,,
PrenatalCareRecord15PC_PgProb_Grid," """"", PC_PgProb, System.String,prenatal/problems_identified_grid/problem,
PrenatalCareRecord15PC_PgProb_Grid," """"", PC_PgProbCom, System.String,prenatal/problems_identified_grid/comments,
PrenatalCareRecord15PC_PgProb_Grid," """"", PC_DtPgProb, System.DateTime,prenatal/problems_identified_grid/date_1st_noted,
PrenatalCareRecord15PC_PgProc_Grid, Diagnostic procedures," """"",,,
PrenatalCareRecord15PC_PgProc_Grid," """"", PC_PgProcedure, System.String,prenatal/diagnostic_procedures/procedure,
PrenatalCareRecord15PC_PgProc_Grid," """"", PC_PgProcCom, System.String,prenatal/diagnostic_procedures/comments,
PrenatalCareRecord15PC_PgProc_Grid," """"", PC_DtProc, System.DateTime,prenatal/diagnostic_procedures/date,
PrenatalCareRecord16PC_Referrals_Grid, Were there referrals to other medical specialists/subspecialists?," """"",,,
PrenatalCareRecord16PC_Referrals_Grid," """"", PC_RefDate, System.String,prenatal/medical_referrals/date,
PrenatalCareRecord16PC_Referrals_Grid," """"", PC_RefSpType, System.String,prenatal/medical_referrals/type_of_specialist ,
PrenatalCareRecord16PC_Referrals_Grid," """"", PC_RefReason, System.String,prenatal/medical_referrals/reason,
PrenatalCareRecord16PC_Referrals_Grid," """"", PC_RefKept, System.String,prenatal/medical_referrals/was_appointment_kept,
PrenatalCareRecord15PC_RMonitor_grid, Routine Monitoring," """"",,,
PrenatalCareRecord15PC_RMonitor_grid," """"", PC_SystolicBP, System.Double,prenatal/routine_monitoring/systolic_bp,
PrenatalCareRecord15PC_RMonitor_grid," """"", PC_DiastolicBP, System.Double,prenatal/routine_monitoring/diastolic,
PrenatalCareRecord15PC_RMonitor_grid," """"", PC_UProtein, System.String,prenatal/routine_monitoring/urine_protein,
PrenatalCareRecord15PC_RMonitor_grid," """"", PC_UKetones, System.String,prenatal/routine_monitoring/urine_ketones,
PrenatalCareRecord15PC_RMonitor_grid," """"", PC_UGlucose, System.String,prenatal/routine_monitoring/urine_glucose,
PrenatalCareRecord15PC_RMonitor_grid," """"", PC_BHct, System.Double,prenatal/routine_monitoring/blood_hematocrit,
PrenatalCareRecord15PC_RMonitor_grid," """"", PC_DWgt, System.Double,prenatal/routine_monitoring/weight,
PrenatalCareRecord15PC_RMonitor_grid," """"", PC_RMDate, System.DateTime,prenatal/routine_monitoring/date_and_time,
PrenatalCareRecord16PC_Source_grid, Sources of prenatal care information from other than the primary provider (transferred records)," """"",,,
PrenatalCareRecord16PC_Source_grid," """"", PC_SrcPlace, System.String,prenatal/other_sources_of_prenatal_care/place,
PrenatalCareRecord16PC_Source_grid," """"", PC_SrcProvType, System.String,prenatal/other_sources_of_prenatal_care/provider_type,
PrenatalCareRecord16PC_Source_grid," """"", PC_SrcCity, System.String,prenatal/other_sources_of_prenatal_care/city,
PrenatalCareRecord16PC_Source_grid," """"", State, System.String,prenatal/other_sources_of_prenatal_care/state,
PrenatalCareRecord16PC_Source_grid," """"", PC_SrcBeginDt, System.DateTime,prenatal/other_sources_of_prenatal_care/begin_date,
PrenatalCareRecord16PC_Source_grid," """"", PC_SrcEndDt, System.DateTime,prenatal/other_sources_of_prenatal_care/end_date,
PrenatalCareRecord13PC_SubAb_grid, Evidence of Substance Abuse," """"",,,
PrenatalCareRecord13PC_SubAb_grid," """"", PC_SASub, System.String,prenatal/substance_use_grid/substance,
PrenatalCareRecord13PC_SubAb_grid," """"", PC_SARoute, System.String," """"",
PrenatalCareRecord13PC_SubAb_grid," """"", PC_SADur, System.String," """"",
PrenatalCareRecord13PC_SubAb_grid," """"", PC_SACom, System.String,prenatal/substance_use_grid/comments,
PrenatalCareRecord13PC_SubAb_grid," """"", PC_SAEduc, System.String,prenatal/substance_use_grid/couseling_education,
PrenatalCareRecord13PC_SurgProc_Grid, Prior surgical procedures before this pregnancy?," """"",,,
PrenatalCareRecord13PC_SurgProc_Grid," """"", PC_DtSurg, System.DateTime,prenatal/prior_surgical_procedures_before_pregnancy/date,
PrenatalCareRecord13PC_SurgProc_Grid," """"", PC_SurgProc, System.String,prenatal/prior_surgical_procedures_before_pregnancy/procedure,
PrenatalCareRecord13PC_SurgProc_Grid," """"", PC_SurgComm, System.String,prenatal/prior_surgical_procedures_before_pregnancy/comments,
SocialServicesRecord17SS_HH_grid, Members of household," """"",,,
SocialServicesRecord17SS_HH_grid," """"", SS_HHAge, System.Double,social_and_environmental_profile/members_of_household/age,
SocialServicesRecord17SS_HH_grid," """"", SS_HHGender, System.String,social_and_environmental_profile/members_of_household/gender,
SocialServicesRecord17SS_HH_grid," """"", SS_HHComm, System.String,social_and_environmental_profile/members_of_household/comments,
SocialServicesRecord17SS_HH_grid," """"", SS_HHRelat, System.String,social_and_environmental_profile/members_of_household/relationship,
SocialServicesRecord17SS_Jail_grid, Details of incarcerations," """"",,,
SocialServicesRecord17SS_Jail_grid," """"", SS_IncarDate, System.DateTime,social_and_environmental_profile/details_of_incarcerations/date,
SocialServicesRecord17SS_Jail_grid," """"", SS_IncarDur, System.String,social_and_environmental_profile/details_of_incarcerations/duration,
SocialServicesRecord17SS_Jail_grid," """"", SS_IncarReasn, System.String,social_and_environmental_profile/details_of_incarcerations/reason,
SocialServicesRecord17SS_Jail_grid," """"", SS_IncarComm, System.String,social_and_environmental_profile/details_of_incarcerations/comments,
SocialServicesRecord18SS_Refer_grid, Social and medical referrals," """"",,,
SocialServicesRecord18SS_Refer_grid," """"", SS_RFDate, System.DateTime,social_and_environmental_profile/social_and_medical_referrals/date,
SocialServicesRecord18SS_Refer_grid," """"", SS_RFTo, System.String,social_and_environmental_profile/social_and_medical_referrals/referred_to,
SocialServicesRecord18SS_Refer_grid," """"", SS_RFSpecialty, System.String,social_and_environmental_profile/social_and_medical_referrals/specialty,
SocialServicesRecord18SS_Refer_grid," """"", SS_RFReason, System.String,social_and_environmental_profile/social_and_medical_referrals/reason,
SocialServicesRecord18SS_Refer_grid," """"", SS_RFNComp, System.String,social_and_environmental_profile/social_and_medical_referrals/reason_for_non_compliance,
SocialServicesRecord18SS_Refer_grid," """"", SS_RFComplied, System.String,social_and_environmental_profile/social_and_medical_referrals/compiled,
SocialServicesRecord18SS_Sources_grid, Sources of social services information for this record," """"",,,
SocialServicesRecord18SS_Sources_grid," """"", SS_SDate, System.DateTime,social_and_environmental_profile/sources_of_social_services_information_for_this_record/date,
SocialServicesRecord18SS_Sources_grid," """"", SS_SName, System.String,social_and_environmental_profile/sources_of_social_services_information_for_this_record/source_name,
SocialServicesRecord18SS_Sources_grid," """"", SS_SCom, System.String,social_and_environmental_profile/sources_of_social_services_information_for_this_record/comments,
SocialServicesRecord18SS_Sources_grid," """"", SS_SType1, System.String,social_and_environmental_profile/sources_of_social_services_information_for_this_record/element,
